CODE;NOM;CODEPOSTAL;
AA020;AAFA SARL;84420;
AB003;AB MAINTENANCE;13009;
AB007;ABC DEPANNAGE MONSIEUR WALDURA;13100;
AB037;ABIOTECH;13340;
AB045;ABS FERMETURES;83130;
AB052;AB STRUCTURES;34070;
AB059;ABFC;13390;
AB072;ABH SARL;6600;
AB082;AB SECURITE CURTISOLAR;98000;
AB084;ABCD INTERNATIONAL;91350;
AB086;AB STORE;13003;
AC008;ACPM;13013;
AC032;ACE;13170;
AC044;ACTIS CAPORALE ALU;13124;
AC073;ACCES PRO;13004;
AC074;ACTIO;13005;
AC085;ACTION MENUISERIES GLASS;6130;
AC091;ACVS;13008;
AC095;ACITECH;77590;
AC097;ACOMA;91700;
AC101;ACTEMIUM MORMANT;77720;
AC105;ACCES SERVICES;75019;
AC106;ACTION SERRURERIE;83160;
AC069;ACRM INGENIERIE;13380;
AC110;ACTIIVE;78150;
AD008;ADSEA FOYER LES CHENES;13011;
AD010;ADP METAL;13830;
AD015;CRECHES DU SUD;13013;
AD043;A.D.S SECURITE;11120;
AD044;ADAPT 06;6100;
AD047;ADAR PROVENCE SERVICES;13097;
AD049;ADEQWATTS ENERGIES;78290;
AD050;ADVISOR SECURITE;93330;
AD055;ADAGIO SAS;13002;
AF011;AFINBAT ISOLATION;83670;
AF012;AFB;13140;
AF023;AFP;84120;
AF025;AFSE;13400;
AF028;AFIMES SAS;91370;
AF030;AFUL ZAC AVENIR;75009;
AG032;AGAFPA;13850;
AG033;AG BATIMENT;13013;
AI004;AIGLON MIROITERIE;6300;
AI005;AITEC EVOLUTION;6000;
AI010;SA QUINCAILLERIE D'AIX;13593;
AI020;AIX MIGNET SERVICES;13100;
AI021;AIKO ECO;13821;
AJ003;AJC MENUISERIES;30100;
AJ009;AJ CONSTRUCTION;;
AL042;ALU GLASS DECO;6800;
AL045;ALOTRA;13004;
AL048;ALU MD FERMETURES;13014;
AL052;SARL LUSTORE;4000;
AL071;ALIZE SARL;83470;
AL072;ALEXANDRE MIROITERIE;6100;
AL074;MIROITERIE ALU DU SOLEIL;6790;
AL092;ALUFERM;6510;
AL178;ALUK SYSTEMES;69440;
AL197;ALBERSTORE;13400;
AL225;ALUNNI BAGARELLI SA;6100;
AL241;ALCEA;91140;
AL242;ALSEA;92230;
AL243;ALLOUIS FACE INTEC;69120;
AL245;ALUTEC CONCEPT;13240;
AL247;ALPHA SERVICES;13821;
AL248;ALTHEC SECURITE SYSTEMES;94290;
AM023;S M B;13010;
AM039;ARCELOR MITTAL DISTRIBUTION;57971;
AM052;AM MULTISERVICES;13400;
AM055;AMALGAME;69126;
AM056;AMJ BATIMENT;75019;
AM058;AM2S SAS;83390;
AN029;ANDRA ASCENSEURS;94600;
AN030;ANSELMO SA;93141;
AN032;ANGE INDUSTRIES;13009;
AP027;APEPS ASSOCIATION;13011;
AP040;APCAR;13015;
AP042;APAVE SUDEUROPE;13322;
AP050;AP PRODUCTION;33565;
AR002;ARTBOIS MENUISERIES;13590;
AR013;ARTISANALES SOCIETE;13011;
AR028;ART CHI;13006;
AR030;ARROWS TECHNOLOGIES;13009;
AR031;ARI - INSTITUT LES BASTIDES;13011;
AR039;ETS ARNAUD ROBERT;4000;
AR040;ARI - INSTITUT LES BORIES;13400;
AR045;ART DECO SARL;13011;
AR051;ARCALENI-MORENO;6400;
AR058;ARGENS ALU;83490;
AR085;ARTM;95320;
AR089;ART ET DESIGN MENUISERIE;13080;
AR096;ARAIMC CENTRE SAINT THYS;13010;
AS013;POLE EMPLOI;13010;
AS024;ASSE ENTRPRISE;6600;
AS028;ASSA ABLOY FRANCE;10304;
AS031;ASSISTANCE DISTRIBUT° SOUDAGE;6550;
AS045;ASM;13124;
AS051;AST;13003;
AS055;ASSOC ORIA MULTI ACCUEIL CRECH;13004;
AS061;CONVERGINT TECHNOLOGIES FRANCE;77183;
AS062;A.N.G.;94520;
AS065;2ASC IMMOBILIER;95410;
AT006;ATELIERS DU BOIS;98000;
AT023;ATS;20700;
AT005;ATEC;13013;
AT067;AT SERVICES SARL ACABIS;13400;
AT068;ATELIERS DE LA REINIERE SARL;6000;
AT082;ATB PARQUETS (NV COMPTE IC013);34130;
AT088;ATELIER INTERIOR;93697;
AT091;ATEXIA;97419;
AT094;ATCHER MENUISERIE;30600;
AT103;ATOLE MONTLUCON;3410;
SE166;SAS SECURITAS TECHNOLOGIES;13014;
AU026;AU FORUM DU BATIMENT;60230;
AU034;AUTOMATISME FERMETURE CONCEPT;84220;
AU038;A2M;13500;
AU049;AUSTRAL SECURITES;97419;
AU052;AUX FORGES DE L'EST;75020;
AV004;A V S;6700;
AV005;A V S ALUMINIUM VERRES STORES;6370;
AV034;AVATH MOINEAUX DE L'HERMITAGE;83200;
AV036;AVEEA;75012;
AV037;AVA;95240;
AX003;AXIAL FERMETURES SARL;13220;
AX010;AXONE INDUSTRIES;13200;
AX016;AXCEO;94000;
AX018;AXEL AMENAGEMENT;92700;
AZ003;AZURALU  S.A.R.L;6730;
AZ017;AZUR ALU SECURITE;13400;
AZ018;JOLY STORES (AZUR ALUMINIUM);6210;
AZ020;AZUR CONSEIL PROTECTION SARL;6800;
AZ039;AZUR PVC SYSTEMES;83260;
AZ051;AZ SERRURERIE;13005;
AZ052;CENTRE AZUR;83110;
AZ055;AZUREVA SERVICE PREVENTION;1011;
BA003;ETS BAREAU SAS;13830;
BA008;MENUISERIE BARBA G.;13590;
BA011;BAGET (STE D'EXP DES ETS);13010;
BA032;MIROITERIE DES 3 BAOUS;6140;
BA040;BAUMERT;67150;
BA097;BALITRAND;6154;
BA101;BFS PACA M PETIT;13140;
BA105;BAIES CREATION;13170;
BA111;BATI MULTISERVICES;13014;
BA114;STE INTERN. MOTEURS BAUDOUIN;13711;
BA130;BATEG;78457;
BA133;BATI PLUS;13014;
BD004;BLINDAGES DE FRANCE BDF;93600;
BE017;MIROITERIE VITRERIE BERTRAND;83700;
BE021;BERAHA CLIMAT 26;13005;
BE025;BELLA VISTA MENUISERIES SAS;13127;
BE029;BETIS;13127;
BE073;BENJAMIN SERRURERIE;13127;
BE075;BERMA;91220;
BI008;BISACCIA ROBERT SERRURERIE;13001;
BI009;SARL BIJEAU ALAIN;94370;
BL002;BLUE LIGHT;98000;
BL003;SAS BOSCHAT LAVEIX;22402;
BL004;BLACHERE & FILS MENUISERIE;30140;
BO004;BOVIS FACILITIES SITE AMADEUS;6600;
BO011;BORRIGLIONE SERRURERIE SARL;6100;
BO016;BOLLORE ENERGY;6200;
BO018;BOSSE ET FILS SERR. FERRON.;83300;
BO035;BOUZE MICKAEL;13510;
BO051;BONSIGNORE ET OLIVETTA;6500;
BO056;BOUTIQUE LOIRE;49600;
BO057;BOUTIQUE FACILITY;47500;
BO059;BONNARDEL;77870;
BO064;BOLMIN PROFILS;27000;
BO066;BOUYGUES E&S 848X;44823;
BO071;BOISTECH SAS;85270;
BP005;BPE PACA;6220;
BR015;BRUNASSO MICHEL;6000;
BR025;BRARD SAS;94140;
BU001;BUCHET SA;6301;
CA004;SCP CANAL DE PROVENCE;13182;
CA008;HOPITAL PRIVE LA CASAMANCE;13675;
CA013;CATALVER;83210;
CA036;CASTAN ETS;11100;
CA057;SARL MENUISERIE CARDONNET;34270;
CA059;SARL DES ETS CAPPELLINI;6340;
CA060;CALIFORNIE SECURITE S.A.R.L;6200;
CA064;MENUISERIE CALVO SARL;13600;
CA088;FAYAT BATIMENT SAS;6204;
CA090;CAUCHI DESIGN SARL;13012;
CA092;CAMARGUAISE TECH.VERRIERES;13200;
CA095;CAISSE ALLOCATIONS FAMILIALES;30922;
CA109;CABA NICE;6390;
CA123;MONSIEUR CHAPUT SEBASTIEN;13009;
CA127;CABINET ROBERT LAUZE;34400;
CA132;SFCC CARADONNA COFFRE FORTS;77271;
CA133;SCI CARREDIS;94524;
CA135;CAP INGELEC;33127;
CA136;CAA AGENCEMENT;49290;
CA144;CAUCHI DESIGN 83;83160;
CB003;CBI CAMPENON BERNARD INDUSTRIE;92563;
CB009;CBA MONTAGNE;38480;
CB010;CBRE GWS FRANCE SAS;92300;
CC023;CCI COTE AZUR PORT NICE;6005;
CC027;CCCP;13002;
CE002;ASSOCIATION L'ESPOIR;13011;
CE005;ASSOCIATION J.B FOUQUE;13010;
CE010;CENTRE HOSPITALIER D'ALLAUCH;13190;
CE013;CENTRE HOSPITALIER APT;84405;
CE029;CEGELEC INFRAS SUD EST;13746;
CE031;CEINTRALU;6390;
CE042;CERCLE DES NAGEURS DE MLLE;13007;
CE046;POLYCLINIQUE SAINT FRANCOIS;83860;
CE065;CEGELEC MAINTENANCE TERTIAIRE;34965;
CE068;LE CEZANNE;13100;
CE083;CENTRE COMMUNAUTAIRE LA ROSE;13013;
CE097;CENTRE HOSPIT.LE MAS CAREIRON;30701;
CE114;CERA TECHNOLOGIE SARL;6300;
CE117;CENTRE HOSPITALIER MENTON;6507;
CE119;CENTRE HOSPITALIER STE MARIE;6009;
CE128;CENTRE HOSPITALIER VALENCE;26953;
CE135;CENTRE NATIONAL DE LA DANSE;93507;
CE141;CTRE HOSP ST PONS DE THOMIERES;34220;
CE145;CESA;77184;
CE146;CEREL;93297;
CE149;CEOS FACILITY;78130;
CH020;CHADIAN SERRURERIE;13004;
CH027;CH FREJ ST RAPHAEL;83600;
CH046;CENTRE HOSPITALIER DE NICE;6003;
CH050;CHRYSALIDE LES TILLEULS;13320;
CH057;CHAUDRONNERIE BRIGNOLAISE;83170;
CH058;LA CHRYSALIDE-IME LES FIGUIERS;13011;
CH060;CHATELAS ROMUALD;13400;
CH062;CHALLENGER SARL;6300;
CH068;CI CHARTEAU RIQUIER CABINET;6047;
CH074;CHARRIER;91480;
CH075;DELTA SECURITY SOLUTIONS;91978;
CH076;CHAZELLE;42004;
CI008;KIPING GENIE ELECTIQUE ET;13011;
CI019;CIPRIANI RENATO;13110;
CI026;CIRCET;83210;
CI047;CIFFREO BONA;6150;
CI049;CIAVALDI POSE ET REPARATION;13120;
CL006;CLINIQUE LA PROVENCALE;13011;
CL008;CLINIQUE SAINT-MARTIN;13011;
CL009;CLINIQUE SAINT-ROCH;13011;
CL016;CLOISOL SUD;13850;
CL017;CLAIR AMENAGEMENT;6600;
CL018;KIPING GENIE CLIMATIQUE;13011;
CL019;CLEF EXPRESS MONACO;98000;
CL021;CLINIQUE DES 4 SAISONS;13396;
CL027;CLINIQUE DES TROIS LUCS;13012;
CL045;CLINIQUE PHENICIA SAS;13005;
CL052;CLE EXPRESS;6300;
CL053;CLEFOR;34070;
CL057;CLIBAT AMENAGEMENT;6700;
CL063;CLINICA OXFORD;6400;
CL064;CLINIQUE L EMERAUDE;13274;
CL067;CLINIQUE VILLA ROMAINE;6045;
CL082;CROUS   CROUS NICE;83041;
CL088;CLES DU SUD;13009;
CL095;CLOS ORNASCA;20117;
CL096;CLESTRA HAUSERMAN COMPTABILITE;75214;
CL098;CLEFERM;92000;
CL100;CLG JULES VALLES CHOISY LE ROI;94600;
CL103;CLASSIC METAL CONCEPT;6000;
CL104;CLES DU SUD/DECOME CHRISTOPHER;13013;
CL107;CLINIQUE SAINT MARTIN SUD;13009;
CL109;CLEAN SOFT;13400;
CL111;CLOSAM;91940;
CL112;CL STORE;6730;
CL113;CLINIQUE VIA DOMITIA;34400;
CL096;CLESTRA HAUSERMAN COMPTABILITE;67411;
CL115;CLOISONS PARTENA;93200;
CM002;CMN LA MERIDIONALE;13213;
CM012;CMA;83300;
CM014;C.M.A SAM;98000;
CM017;CMHE (IBIS BUDGET MLLE TIMONE);13005;
CM012;CMA;84120;
CM012;CMA;34100;
CM027;CMT BATIMENT;13290;
CN006;CNM INTERNATIONAL;13704;
CO014;COLLEGE ALFRED CROUZET;34290;
CO019;COLLEGE CLAIR SOLEIL;13014;
CO022;SCOP COSVAL;13300;
CO025;COLLEGE COIN JOLI SEVIGNE;13009;
CO029;COLLEGE VICTOR SCHOELCHER;84290;
CO035;COLLEGE ANDRE CHENIER;13012;
CO036;COLLEGE JEAN GIONO;13013;
CO047;CORA TP;13740;
CO048;COLLEGE CAMPRA;13100;
CO053;COLLEGE FERNAND LEGER;13130;
CO060;CONFIANCE MENUISERIE;13008;
CO103;B AU COMPTOIR DU VERRE;5000;
CO118;COMPTOIR ELECTRIQUE FRANCAIS;6150;
CO133;COMPTOIR NICOIS OUTIL FIXATION;6300;
CO137;COLLEGE N.DAME DE LA JEUNESSE;13011;
CO144;COLLEGE PONT DE VIVAUX;13385;
CO158;COLLEGE EDOUARD MANET;13014;
CO173;COLLEGE ARTHUR RIMBAUD;13015;
CO197;CO.RE.BAT;13300;
CO207;COLLEGE NATHALIE SARRAUTE;13400;
CO219;CORSO FRANCOIS;13007;
CO228;COFADIS;13100;
CO242;COLLEGE EDGAR QUINET;13003;
CO258;COLLEGE JEAN MALRIEU;13005;
CO259;COLLEGE LAKANAL;13400;
CO267;COLLEGE ANTOINE FAURE;34810;
CO154;COLLEGE ANDRE MALRAUX;13775;
CO275;COMPAGNIE DU STORE;6700;
CO276;SARL COSENTION ET FILS;98000;
CO281;COBIANCHI PHILIPPE;13013;
CO288;CONCEPT BAIE;83480;
CO292;COLLEGE SYLVAIN MENU;13009;
CO299;COLLEGE PYTHEAS;13014;
CO300;COMPLEXE LES HEURES CLAIRES;13800;
CO305;CORSICA LINEA;13003;
CO310;COLLEGE LOUIS PASTEUR;13009;
CO311;COLLEGE PORT LYMPIA;6300;
CO313;COURS NOTRE DAME DE FRANCE;13294;
CO318;CODE-ELEC;93700;
CO319;COLLEGE JEAN FRANCO;6660;
CO321;CORSE COMPOSITES AERONAUTIQUES;20700;
CO323;COGENT COMMUNICATION FRANCE;92250;
CO325;COM AGGLO PROVENCE VERTE;83170;
CO328;COULANGE IMMOBILIER;13008;
CO331;CONDUC'HABITAT;13590;
CO341;COMETE INDUSTRIE;38280;
CO343;COLLEGE LE PRE DES ROURES;6650;
CO346;SCS COUTURIER ET CIE GSMA;98000;
CO348;COVERIS;33170;
CP008;C2P;13170;
CP013;CPA NEGOCE;91650;
CR001;CARSAT SUD EST;13352;
CR004;CREATION ESPACE BUREAU;13090;
CR018;CRNA/SE;13617;
CR050;CROIX ROUGE FRANCAISE-06;6250;
CR051;DIRECTION DU CREPS PACA;6601;
CR061;CRITEL;54521;
CR065;CONECTIA CRH IDF;94150;
CV003;CV3E;13730;
CY002;CYC;75011;
DA001;DATAC SERVICES;6270;
DA028;DACOS ENTREPRISE;84200;
DA046;SERRURERIE DAVTIAN;13006;
DA049;DANAE;75017;
DA051;DAY BUILDER GROUP;13007;
DA053;DAT VERRIERES;45750;
DD006;DDSP13;13014;
DE013;DEVAUZE;13010;
DE022;DELTA SERTEC - MARSEILLE;13013;
DE028;DESIGN D'ESPACES;83600;
DE037;DESCAMPS PROTECTION;13012;
DE058;DESCOURS ET CABAUD P.A.C.A;83278;
DE064;PARTNER DELTA BOIS;30000;
DE072;DEGIVRY;6000;
DE096;DEF DETECTION ELECTRONIQUE FRA;91882;
DE099;DESIGN BY PERSPECTIVES;13090;
DE111;DELAGARDE;13852;
DF002;DFC2 DIFFUSION;44120;
DI006;DIFRAL SAS;6515;
DI010;MIROITERIE DIPASQUALE;84130;
DI039;DIP S.A;13367;
DI052;DIGI DIFFUSION ET COMPAGNIE;75012;
DL004;DL INDUSTRIE;93130;
DO004;DORMAKABA FRANCE;94046;
DO011;DOGUYAL SARL;13008;
DO015;D & O MANAGEMENT SAS;83440;
DO019;DOMOSERVICES;13011;
DR006;DREQ MENUISERIE SASU;13016;
DR009;DRPE HOTELLERIE SARL;13001;
DS007;DSM SERRURERIE DEPANNAGE;13010;
DU022;STE NOUVELLE DUCROS;34090;
DU025;DUO CONFORT;6410;
DU031;DUBE ATOUSERVICES SARL;83130;
DV001;DIFFUSION VAROISE MENUISERIE;83300;
EC018;ECOLE HAMASKAINE;13012;
EC022;BALLET NATIONAL DE MARSEILLE;13008;
EC025;ECOTEC 13;13400;
EC026;ECOTEC 06;13400;
EC029;ECF INGENERIE;93692;
EC030;ECOLE NATIONALE DE DANSE;13008;
ED006;EDIFICE SARL;13330;
ED013;SARL EDWARD;13006;
ED015;EDISON;34430;
ED016;EDC ALTERNATIVE;6800;
EE002;EEAP LES CALANQUES;13009;
EF003;EIFFAGE CONSTRUCTION;62971;
EG014;VINGLIN DAMIEN;20167;
EH002;EHPAD-LA BASTIDE DE PEGOMAS;6580;
EH006;EHPAD JEHAN RIPPERT;84490;
EI001;LYCEE GUSTAVE EIFFEL;13400;
EI010;EIFFAGE CONSTRUCTION VAR;62971;
EI023;EISA;83440;
EL004;ELOREM ALU;13590;
EL012;ELECTROTECH;13012;
EL015;ELIOTHEC;13012;
EL016;ELECTRIC AVENIR SARL;13010;
EL017;ELECTRICITE INDUST. JP FAUCHE;13100;
EL036;JP FAUCHE MARSEILLE PROVENCE;13011;
EL037;AEGE;69200;
EL049;ELIZI;91410;
EM014;EMPR 2000;13010;
EM019;EMAVER MIROITERIE;83079;
EM021;EMR ASCENSEURS ETS RAYMOND;6000;
EM028;EMC MENUISERIE;13003;
EM029;EMI TERTIAIRE;77183;
EN018;ENERGITEC ELEC;83078;
EN035;ENERGILEC;95120;
EP001;EPI EURL;30660;
EP005;PIERRE NOUGIER SARL;13013;
EP018;EPE;94100;
EP019;EPLS;93106;
EP020;EPA MASSE DES DOUANES;75927;
EQ010;ASSOCIATION EQUI LIB;13190;
ER007;E.R.M.A.;34170;
ER010;ERTIC INDUSTRIE;13120;
ER017;ERI;94120;
ER019;ERN;6000;
ES015;LE VAL D'ESTREILLES S.A;6580;
ES017;ESPACE RENOVATION S.A.R.L;13006;
ES023;ESPACE ALU ST LAURENT;6700;
ES038;ES RENOVATION;13011;
ES045;SARL ESPACE RIVIERA;6200;
ES047;ESPACES CONCEPT;13400;
ET002;ETPM LAUMET;13370;
ET003;ETELEC;13010;
ET026;ETMB;95240;
ET027;ETPE;6670;
EU001;EUREKA BATIMENT;83136;
EU013;EUROPLIAGE;6700;
EU021;EUROP TP SAS;6200;
EU025;EURACHATS;13010;
EU042;EUROP'ELEC SARL;6516;
EU046;EUROPE GAMMES;13010;
EU050;EUROGEM;93300;
EV004;EVANGELISTA SARL;13120;
FA019;FAM;13400;
FA041;FASS;75012;
FA045;FACILITESS;75015;
FA048;FACAL ENGENHARIA DE FACHADAS;4780;
FC004;FCMA;69390;
FE016;FERMECO SAS;13127;
FE037;FERDALU;13014;
FE047;FENETRES ISOLANTES INDUST.;6371;
FE055;FENETRE IMAGINE;6390;
FE062;FELICES ET FILS;83310;
FE075;FERMEO JLM SARL;13590;
FE086;FERRONNERIE VALAITIS;83310;
FE097;FERBAT QUINCAILLERIE;67025;
FE109;FEDER'IT;13120;
FI006;SARL LA FILOSETTE;13730;
FI023;FIRM SARL;69190;
FI025;F2I SARL;13340;
FI028;FIL FRANCE;85300;
FI038;FIVO SERVICES;95640;
FI030;F2I ILE DE FRANCE;91220;
FI031;FIRAC TECHNOPARC;78306;
FI034;FIDUCIAL SECURITE SYSTEMES;69336;
FI036;FICOGRAPHIE;13110;
FL006;FLORENTIN MENUISERIE EBENIST.;83310;
FM001;FM BAIES;20167;
FM006;FMS;6200;
FM008;FMIB;94450;
FO006;MAISON D'ENFANTS LES ST ANGES;13008;
FO018;FOYER LES VIOLETTES;13012;
FO021;FORMATION ET METIER TBH;13011;
FO025;LSB LA SALLE BLANCHE SAS;84400;
FO026;FONCIA VIEUX PORT;13009;
FO032;FOYER MAISON PARC AUX CYPRES;84530;
FO033;FONDATION ARMEE DU SALUT;34093;
FO034;FOYER DEPTAL ENFANCE DU GARD;30000;
FO046;FONDERIE DE MONACO;98000;
FO053;FONCIA GRAND BLEU;83120;
FO057;FOUASSIN ENTREPRISES;91421;
FO058;FONTBONNE ET FILS;69153;
FO060;FONDATION DE NICE PSP ACTES;6300;
FR008;FRANCIAFLEX;45430;
FR018;FRANCE CLEF SARL;6000;
GA021;GASPICH ET ROBBA SARL;6300;
GA026;CAM CLOISONS AMOVIBLES MED;13360;
GA027;GARABELLO S.A.R.L;13240;
GA050;GAZOCEAN - GASELYS;13344;
GA059;LA GARRONNIERE;34130;
GB004;GB CONCEPT;34130;
GC003;GCC;13846;
GC007;GCP 13;13009;
GC008;GCV SARL;20167;
GC009;GCC VITROLLES;13846;
GE022;GENDARMERIE NATIONALE;13387;
GE033;GEMTECH PROVENCE;13014;
UN026;UNION MATERIAUX;34960;
GE056;GERIN FRERES;20600;
GE059;GENELEC;95370;
GE060;GEOMS;93100;
GE064;GENTLEMAN SERRURIER;13013;
GE065;GENERALE DE RENOVATION;13007;
GH002;GHEZZI PERE ET FILS, SARL;30700;
GI004;GIL METAL;6100;
GI005;GIOVANNI FERRON D'ART SARL;6300;
GI010;GI SURETE;77560;
GI025;ENTREPRISE GIRARD SNC;84000;
GL009;MIROITERIE GLASSUD DESIGN;84700;
GL010;GLAURALEX SAS;13011;
GO002;GOLDSTAR RESORT;6000;
GP002;GPM OFFICE;75009;
GR006;SARL GROSJEAN;84600;
GR030;GRAND SUD HABITAT;13010;
GR032;GRAND DELTA ALUMINIUM;13400;
GR047;GROUPE GOYER;41120;
GR048;GROUPE DE MUSIQUE MARSEILLE;13003;
GS009;GS DECORATION;13012;
GT013;GTIE TERTIAIRE IDF;91160;
GT014;GTIE AIR & DÉFENSE;91090;
HA004;HARMONIE DE L'HABITAT S.A.;13120;
HA022;HAFEL ERREBI;13011;
HE019;HERMI ALUMINIUM EURL;83550;
HE022;SAS HED-PMN;13015;
HE023;EHPAD LES JARDINS D'ANIANE;34150;
HE026;HELIOM;78500;
HE027;HERVE THERMIQUE;37300;
HG001;H.G.O;35230;
HI003;SOCIETE HIPPIQUE DE MARSEILLE;13387;
HI004;HITEC;77270;
HM003;HMF;13009;
HM004;HMS HABITAT MULTI SERVICE;13880;
HO002;HOPITAL LOCAL DE SAULT;84390;
HO023;HOPITAL LOCAL LUNEL;34400;
HO027;HOROQUARTZ;85205;
HO028;HOPITAL PRIVE CLAIRVAL;13009;
HO044;HOTELIERE CAMPO DELL'ORO;20700;
HO047;HOTEL PULMANN ROISSY CDG;95935;
HO051;HORIZON TECHNOLOGY;94290;
HT002;HTO;13380;
HY002;HYARDET TE 13;13400;
IB006;IBC;83136;
IC010;INGENIERIE CONSTRUCTIONS METAL;13100;
IC014;ICM;34298;
ID009;IDS ALESSIS SERRURERIE;83000;
ID017;IDEX ENERGIES;92513;
ID021;3ID RENOVATION;26320;
ID023;ID NEO;92350;
IF003;IFSI SAINT JOSEPH;13005;
IL002;ILEX MONACO;98000;
IL003;ILIAD;75008;
IL004;ILEX;6600;
IM014;IMPRIMERIE CARACTERE;13011;
